strategy,num_acquisition_seeds,final_map50_mean,final_map50_std,final_map50_ci95_low,final_map50_ci95_high,final_map5095_mean,final_map5095_std,final_map5095_ci95_low,final_map5095_ci95_high,best_map50_mean,best_map50_std,best_map50_ci95_low,best_map50_ci95_high,best_map5095_mean,best_map5095_std,best_map5095_ci95_low,best_map5095_ci95_high,normalized_aulc_map50_mean,normalized_aulc_map50_std,normalized_aulc_map50_ci95_low,normalized_aulc_map50_ci95_high,normalized_aulc_map5095_mean,normalized_aulc_map5095_std,normalized_aulc_map5095_ci95_low,normalized_aulc_map5095_ci95_high
GTFreeDatasetBalancedConsistency,5,0.33413820000000005,0.032536618596590516,0.30825179999999996,0.3576800949999998,0.14734419999999998,0.019753169371014876,0.1317554,0.16136006999999988,0.34752120000000003,0.02863742206798649,0.3237438,0.3661336,0.15265940000000003,0.015117829070339428,0.14014040000000003,0.1632362,0.2717587,0.02897501999737767,0.2503231,0.294161175,0.11752672499999998,0.015623051376591734,0.10599115,0.130750875
GTFreeDatasetBalancedVisualDiversity,5,0.369815,0.01796734611733184,0.3570242,0.38529979999999997,0.16165680000000002,0.00913233982613438,0.1542394,0.1680082,0.3708444,0.017095374573258104,0.359083,0.3856400000000001,0.1638414,0.010569753677356917,0.15562479999999998,0.1717944,0.28365685,0.0349240441025905,0.25773245,0.31051882187499974,0.12302695,0.015662494535264415,0.11199002499999999,0.13531749874999965
GTFreeRandom,5,0.37784999999999996,0.022668011789744605,0.3574064,0.38956219999999997,0.16896719999999998,0.01588008328693524,0.1546946,0.1781428,0.3873524,0.0027813995218234945,0.385246,0.38957700000000006,0.1746082,0.00446161962744473,0.1710736,0.1781428,0.28534397499999997,0.01602341844608813,0.27240739999999997,0.29685369999999994,0.1257286,0.010077992339592006,0.117979366875,0.133541525
