acquisition_seed,strategy,round,dataset_type,image_name,sample_id,rank_in_selection,min_cosine_distance_to_labeled_before_selection,num_reference_labeled_before_selection
42,GTFreeDatasetBalancedVisualDiversity,2,GC10-DET,img_07_4405965200_00151.jpg,994170777421dbd37b2d3dffe39679e66687454d230dead551efec30e8077b8a,3,0.37079691886901855,20
42,GTFreeDatasetBalancedVisualDiversity,2,GC10-DET,img_05_4402826400_01261.jpg,bbdf47c63eaa67bd3f0c175dbe10da3aa7088a9cad8d2cbbf585c3c4966f6280,4,0.3567781448364258,20
42,GTFreeDatasetBalancedVisualDiversity,2,NEU-DET,scratches_184.jpg,fdea6e377619e0dac2455ceb42bd32fca131e2e82641e18461f498c58c582ca1,5,0.38529741764068604,20
42,GTFreeDatasetBalancedVisualDiversity,3,GC10-DET,img_04_4401672100_00003.jpg,169b17e6914e129d16eddde8ffae839ae26f81d83089d56f30c3916e8876a2df,1,0.3467872142791748,25
42,GTFreeDatasetBalancedVisualDiversity,3,NEU-DET,scratches_147.jpg,9bc9d64d72c17cc718188ca1622d66f97c064228bbc7f868eae03ca779904a94,2,0.3217664957046509,25
42,GTFreeDatasetBalancedVisualDiversity,3,NEU-DET,inclusion_154.jpg,c9dc287614239feda81c4fda63bff79f8ce8f0cf201ac707b84b3c62aef95d12,3,0.31619733572006226,25
42,GTFreeDatasetBalancedVisualDiversity,3,NEU-DET,crazing_231.jpg,cdbe260c5627aae3eac748c1fa4c40a6d0d260192b55c0eb93912da838089f7b,4,0.3309869170188904,25
42,GTFreeDatasetBalancedVisualDiversity,3,GC10-DET,img_07_427199900_01135.jpg,e366f2a7d97eb94e612539f4eac6a61c1977c6ef04d2ac4a57c5f7c8d4c58ab6,5,0.3476552963256836,25
42,GTFreeDatasetBalancedVisualDiversity,4,GC10-DET,img_06_430103100_01149.jpg,1e895317eed92d24e2c8b4017552dbb8b07595bec95be93684a987f332165e41,1,0.3462866544723511,30
42,GTFreeDatasetBalancedVisualDiversity,4,GC10-DET,img_02_3436789500_00005.jpg,5cd00d5a6c1ef72083cc18c221bd9e8810f2c9f81344222d687ea8aafea98fe6,2,0.34425127506256104,30
42,GTFreeDatasetBalancedVisualDiversity,4,NEU-DET,pitted_surface_200.jpg,638ec352794dc5f4efbd4c151c78d01e384b2946aeb6b48c4393d4780eface2c,3,0.30434322357177734,30
