acquisition_seed,round,strategy_a,strategy_b,overlap_count,strategy_a_size,strategy_b_size,jaccard
43,2,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,18,25,25,0.5625
43,2,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedVisualDiversity,25,25,25,1.0
43,2,GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,15,25,25,0.42857142857142855
43,2,GTFreeRandom,GTFreeDatasetBalancedConsistency,18,25,25,0.5625
43,2,GTFreeRandom,GTFreeDatasetBalancedVisualDiversity,15,25,25,0.42857142857142855
43,2,GTFreeRandom,GTFreeRandom,25,25,25,1.0
43,3,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedConsistency,30,30,30,1.0
43,3,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedVisualDiversity,19,30,30,0.4634146341463415
43,3,GTFreeDatasetBalancedConsistency,GTFreeRandom,20,30,30,0.5
43,3,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,19,30,30,0.4634146341463415
43,3,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedVisualDiversity,30,30,30,1.0
43,3,GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,17,30,30,0.3953488372093023
43,3,GTFreeRandom,GTFreeDatasetBalancedConsistency,20,30,30,0.5
43,3,GTFreeRandom,GTFreeDatasetBalancedVisualDiversity,17,30,30,0.3953488372093023
43,3,GTFreeRandom,GTFreeRandom,30,30,30,1.0
43,4,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedConsistency,35,35,35,1.0
43,4,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedVisualDiversity,19,35,35,0.37254901960784315
43,4,GTFreeDatasetBalancedConsistency,GTFreeRandom,21,35,35,0.42857142857142855
43,4,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,19,35,35,0.37254901960784315
43,4,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedVisualDiversity,35,35,35,1.0
43,4,GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,19,35,35,0.37254901960784315
43,4,GTFreeRandom,GTFreeDatasetBalancedConsistency,21,35,35,0.42857142857142855
43,4,GTFreeRandom,GTFreeDatasetBalancedVisualDiversity,19,35,35,0.37254901960784315
43,4,GTFreeRandom,GTFreeRandom,35,35,35,1.0
44,0,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedConsistency,15,15,15,1.0
44,0,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedVisualDiversity,15,15,15,1.0
44,0,GTFreeDatasetBalancedConsistency,GTFreeRandom,15,15,15,1.0
44,0,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,15,15,15,1.0
44,0,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedVisualDiversity,15,15,15,1.0
44,0,GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,15,15,15,1.0
44,0,GTFreeRandom,GTFreeDatasetBalancedConsistency,15,15,15,1.0
44,0,GTFreeRandom,GTFreeDatasetBalancedVisualDiversity,15,15,15,1.0
44,0,GTFreeRandom,GTFreeRandom,15,15,15,1.0
44,1,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedConsistency,20,20,20,1.0
44,1,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedVisualDiversity,16,20,20,0.6666666666666666
44,1,GTFreeDatasetBalancedConsistency,GTFreeRandom,15,20,20,0.6
44,1,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,16,20,20,0.6666666666666666
44,1,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedVisualDiversity,20,20,20,1.0
44,1,GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,15,20,20,0.6
44,1,GTFreeRandom,GTFreeDatasetBalancedConsistency,15,20,20,0.6
44,1,GTFreeRandom,GTFreeDatasetBalancedVisualDiversity,15,20,20,0.6
44,1,GTFreeRandom,GTFreeRandom,20,20,20,1.0
44,2,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedConsistency,25,25,25,1.0
44,2,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedVisualDiversity,17,25,25,0.5151515151515151
44,2,GTFreeDatasetBalancedConsistency,GTFreeRandom,15,25,25,0.42857142857142855
44,2,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,17,25,25,0.5151515151515151
44,2,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedVisualDiversity,25,25,25,1.0
44,2,GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,16,25,25,0.47058823529411764
44,2,GTFreeRandom,GTFreeDatasetBalancedConsistency,15,25,25,0.42857142857142855
44,2,GTFreeRandom,GTFreeDatasetBalancedVisualDiversity,16,25,25,0.47058823529411764
44,2,GTFreeRandom,GTFreeRandom,25,25,25,1.0
44,3,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedConsistency,30,30,30,1.0
44,3,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedVisualDiversity,18,30,30,0.42857142857142855
44,3,GTFreeDatasetBalancedConsistency,GTFreeRandom,16,30,30,0.36363636363636365
44,3,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,18,30,30,0.42857142857142855
44,3,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedVisualDiversity,30,30,30,1.0
44,3,GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,18,30,30,0.42857142857142855
44,3,GTFreeRandom,GTFreeDatasetBalancedConsistency,16,30,30,0.36363636363636365
44,3,GTFreeRandom,GTFreeDatasetBalancedVisualDiversity,18,30,30,0.42857142857142855
44,3,GTFreeRandom,GTFreeRandom,30,30,30,1.0
44,4,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedConsistency,35,35,35,1.0
44,4,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedVisualDiversity,20,35,35,0.4
44,4,GTFreeDatasetBalancedConsistency,GTFreeRandom,18,35,35,0.34615384615384615
44,4,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,20,35,35,0.4
44,4,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedVisualDiversity,35,35,35,1.0
44,4,GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,20,35,35,0.4
44,4,GTFreeRandom,GTFreeDatasetBalancedConsistency,18,35,35,0.34615384615384615
44,4,GTFreeRandom,GTFreeDatasetBalancedVisualDiversity,20,35,35,0.4
44,4,GTFreeRandom,GTFreeRandom,35,35,35,1.0
45,0,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedConsistency,15,15,15,1.0
45,0,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedVisualDiversity,15,15,15,1.0
45,0,GTFreeDatasetBalancedConsistency,GTFreeRandom,15,15,15,1.0
45,0,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,15,15,15,1.0
45,0,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedVisualDiversity,15,15,15,1.0
45,0,GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,15,15,15,1.0
45,0,GTFreeRandom,GTFreeDatasetBalancedConsistency,15,15,15,1.0
45,0,GTFreeRandom,GTFreeDatasetBalancedVisualDiversity,15,15,15,1.0
45,0,GTFreeRandom,GTFreeRandom,15,15,15,1.0
45,1,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedConsistency,20,20,20,1.0
45,1,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedVisualDiversity,15,20,20,0.6
45,1,GTFreeDatasetBalancedConsistency,GTFreeRandom,15,20,20,0.6
45,1,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,15,20,20,0.6
45,1,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedVisualDiversity,20,20,20,1.0
45,1,GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,16,20,20,0.6666666666666666
45,1,GTFreeRandom,GTFreeDatasetBalancedConsistency,15,20,20,0.6
45,1,GTFreeRandom,GTFreeDatasetBalancedVisualDiversity,16,20,20,0.6666666666666666
45,1,GTFreeRandom,GTFreeRandom,20,20,20,1.0
45,2,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedConsistency,25,25,25,1.0
45,2,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedVisualDiversity,18,25,25,0.5625
45,2,GTFreeDatasetBalancedConsistency,GTFreeRandom,15,25,25,0.42857142857142855
45,2,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,18,25,25,0.5625
45,2,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedVisualDiversity,25,25,25,1.0
45,2,GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,17,25,25,0.5151515151515151
45,2,GTFreeRandom,GTFreeDatasetBalancedConsistency,15,25,25,0.42857142857142855
45,2,GTFreeRandom,GTFreeDatasetBalancedVisualDiversity,17,25,25,0.5151515151515151
45,2,GTFreeRandom,GTFreeRandom,25,25,25,1.0
45,3,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedConsistency,30,30,30,1.0
