treatment,baseline,acquisition_seed,round,labeled_budget,metric,difference
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,42,3,30,map50,-0.006460000000000021
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,42,3,30,map5095,-0.004964999999999997
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,42,4,35,map50,0.05089100000000002
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,42,4,35,map5095,0.02815999999999999
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,43,0,15,map50,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,43,0,15,map5095,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,43,1,20,map50,0.01334200000000002
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,43,1,20,map5095,0.00628200000000001
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,43,2,25,map50,0.019845
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,43,2,25,map5095,0.009888999999999981
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,43,3,30,map50,0.036529000000000034
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,43,3,30,map5095,0.011015999999999998
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,43,4,35,map50,0.06628400000000001
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,43,4,35,map5095,0.0006319999999999937
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,44,0,15,map50,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,44,0,15,map5095,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,44,1,20,map50,-0.06726400000000002
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,44,1,20,map5095,-0.019627999999999993
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,44,2,25,map50,0.008882000000000001
