source_strategy,num_images,total_bbox_instances,mean_bbox_per_image,median_bbox_per_image,multi_object_image_ratio,num_actual_classes,actual_class_entropy,actual_class_distribution,bbox_area_mean,bbox_area_std,small_bbox_ratio,medium_bbox_ratio,large_bbox_ratio,dataset_distribution,acquisition_seed,strategy,round,labeled_budget
GTFreeRandom,35,65,1.8571428571428572,1.0,0.45714285714285713,10,2.468472772635573,"{""crazing"": 2, ""crease"": 29, ""inclusion"": 13, ""patches"": 7, ""pitted_surface"": 2, ""rolled-in_scale"": 5, ""rolled_pit"": 2, ""scratches"": 3, ""silk_spot"": 1, ""water_spot"": 1}",0.11692064453124999,0.1688821428670416,0.12307692307692308,0.47692307692307695,0.4,"{""GC10-DET"": 22, ""NEU-DET"": 13}",43,GTFreeRandom,4,35
GTFreeDatasetBalancedConsistency,15,25,1.6666666666666667,1.0,0.4666666666666667,6,2.1511197773146975,"{""crazing"": 2, ""crease"": 11, ""inclusion"": 2, ""pitted_surface"": 3, ""rolled_pit"": 1, ""scratches"": 6}",0.08019980859375,0.1024483443465576,0.12,0.6,0.28,"{""GC10-DET"": 10, ""NEU-DET"": 5}",44,GTFreeDatasetBalancedConsistency,0,15
GTFreeDatasetBalancedConsistency,20,35,1.75,2.0,0.55,8,2.638621208837137,"{""crazing"": 2, ""crease"": 11, ""inclusion"": 2, ""patches"": 3, ""pitted_surface"": 5, ""rolled-in_scale"": 3, ""rolled_pit"": 1, ""scratches"": 8}",0.12850629185267856,0.19441381424159854,0.08571428571428572,0.5714285714285714,0.34285714285714286,"{""GC10-DET"": 10, ""NEU-DET"": 10}",44,GTFreeDatasetBalancedConsistency,1,20
GTFreeDatasetBalancedConsistency,25,45,1.8,2.0,0.52,8,2.5034033008065606,"{""crazing"": 2, ""crease"": 14, ""inclusion"": 3, ""patches"": 3, ""pitted_surface"": 5, ""rolled-in_scale"": 3, ""rolled_pit"": 1, ""scratches"": 14}",0.11605605034722222,0.17413181144102702,0.06666666666666667,0.5777777777777777,0.35555555555555557,"{""GC10-DET"": 13, ""NEU-DET"": 12}",44,GTFreeDatasetBalancedConsistency,2,25
GTFreeDatasetBalancedConsistency,30,54,1.8,2.0,0.5333333333333333,8,2.617073902233393,"{""crazing"": 6, ""crease"": 16, ""inclusion"": 3, ""patches"": 5, ""pitted_surface"": 6, ""rolled-in_scale"": 3, ""rolled_pit"": 1, ""scratches"": 14}",0.14207375578703704,0.19554027588826764,0.05555555555555555,0.5370370370370371,0.4074074074074074,"{""GC10-DET"": 15, ""NEU-DET"": 15}",44,GTFreeDatasetBalancedConsistency,3,30
GTFreeDatasetBalancedConsistency,35,62,1.7714285714285714,2.0,0.5428571428571428,8,2.58547137030111,"{""crazing"": 8, ""crease"": 20, ""inclusion"": 3, ""patches"": 5, ""pitted_surface"": 8, ""rolled-in_scale"": 3, ""rolled_pit"": 1, ""scratches"": 14}",0.15661647712953627,0.1984219384903355,0.04838709677419355,0.5,0.45161290322580644,"{""GC10-DET"": 18, ""NEU-DET"": 17}",44,GTFreeDatasetBalancedConsistency,4,35
GTFreeDatasetBalancedVisualDiversity,15,25,1.6666666666666667,1.0,0.4666666666666667,6,2.1511197773146975,"{""crazing"": 2, ""crease"": 11, ""inclusion"": 2, ""pitted_surface"": 3, ""rolled_pit"": 1, ""scratches"": 6}",0.08019980859375,0.1024483443465576,0.12,0.6,0.28,"{""GC10-DET"": 10, ""NEU-DET"": 5}",44,GTFreeDatasetBalancedVisualDiversity,0,15
GTFreeDatasetBalancedVisualDiversity,20,34,1.7,2.0,0.55,8,2.644130552613159,"{""crazing"": 2, ""crease"": 11, ""inclusion"": 2, ""patches"": 4, ""pitted_surface"": 6, ""rolled-in_scale"": 2, ""rolled_pit"": 1, ""scratches"": 6}",0.12702265337775737,0.1764345563317161,0.08823529411764706,0.5294117647058824,0.38235294117647056,"{""GC10-DET"": 10, ""NEU-DET"": 10}",44,GTFreeDatasetBalancedVisualDiversity,1,20
GTFreeDatasetBalancedVisualDiversity,25,46,1.84,2.0,0.56,8,2.5852737069541836,"{""crazing"": 2, ""crease"": 16, ""inclusion"": 7, ""patches"": 4, ""pitted_surface"": 6, ""rolled-in_scale"": 2, ""rolled_pit"": 1, ""scratches"": 8}",0.11059277131453803,0.15601265081079957,0.08695652173913043,0.5434782608695652,0.3695652173913043,"{""GC10-DET"": 13, ""NEU-DET"": 12}",44,GTFreeDatasetBalancedVisualDiversity,2,25
GTFreeDatasetBalancedVisualDiversity,30,54,1.8,2.0,0.5333333333333333,8,2.63635566971762,"{""crazing"": 4, ""crease"": 18, ""inclusion"": 7, ""patches"": 6, ""pitted_surface"": 7, ""rolled-in_scale"": 2, ""rolled_pit"": 1, ""scratches"": 9}",0.12271101707175928,0.17294378899801638,0.07407407407407407,0.5185185185185185,0.4074074074074074,"{""GC10-DET"": 15, ""NEU-DET"": 15}",44,GTFreeDatasetBalancedVisualDiversity,3,30
GTFreeDatasetBalancedVisualDiversity,35,66,1.8857142857142857,2.0,0.5428571428571428,9,2.622089361739083,"{""crazing"": 4, ""crease"": 22, ""inclusion"": 8, ""patches"": 6, ""pitted_surface"": 7, ""rolled-in_scale"": 2, ""rolled_pit"": 1, ""scratches"": 15, ""waist_folding"": 1}",0.11938704723011363,0.1780147875551392,0.06060606060606061,0.5757575757575758,0.36363636363636365,"{""GC10-DET"": 18, ""NEU-DET"": 17}",44,GTFreeDatasetBalancedVisualDiversity,4,35
GTFreeRandom,15,25,1.6666666666666667,1.0,0.4666666666666667,6,2.1511197773146975,"{""crazing"": 2, ""crease"": 11, ""inclusion"": 2, ""pitted_surface"": 3, ""rolled_pit"": 1, ""scratches"": 6}",0.08019980859375,0.1024483443465576,0.12,0.6,0.28,"{""GC10-DET"": 10, ""NEU-DET"": 5}",44,GTFreeRandom,0,15
GTFreeRandom,20,40,2.0,1.5,0.5,8,2.378673775785312,"{""crazing"": 2, ""crease"": 19, ""inclusion"": 2, ""patches"": 4, ""pitted_surface"": 3, ""rolled-in_scale"": 3, ""rolled_pit"": 1, ""scratches"": 6}",0.07699506591796874,0.09397234129582278,0.2,0.475,0.325,"{""GC10-DET"": 13, ""NEU-DET"": 7}",44,GTFreeRandom,1,20
GTFreeRandom,25,52,2.08,2.0,0.56,8,2.5083736235375937,"{""crazing"": 2, ""crease"": 20, ""inclusion"": 3, ""patches"": 6, ""pitted_surface"": 8, ""rolled-in_scale"": 3, ""rolled_pit"": 1, ""scratches"": 9}",0.11355645845853364,0.15603744113932153,0.15384615384615385,0.46153846153846156,0.38461538461538464,"{""GC10-DET"": 14, ""NEU-DET"": 11}",44,GTFreeRandom,2,25
GTFreeRandom,30,58,1.9333333333333333,1.5,0.5,9,2.641129920886342,"{""crazing"": 2, ""crease"": 21, ""inclusion"": 5, ""patches"": 6, ""pitted_surface"": 8, ""rolled-in_scale"": 4, ""rolled_pit"": 1, ""scratches"": 10, ""water_spot"": 1}",0.11361993871228447,0.14867826186691707,0.13793103448275862,0.43103448275862066,0.43103448275862066,"{""GC10-DET"": 16, ""NEU-DET"": 14}",44,GTFreeRandom,3,30
