class_name,ap50_V10b,ap5095_V10b,precision_V10b,recall_V10b,validation_instance_count,ap50_Random,ap5095_Random,precision_Random,recall_Random,V10b_minus_Random_ap50,V10b_minus_Random_ap5095,V10b_minus_Random_precision,V10b_minus_Random_recall
crazing,0.2982552681709505,0.1247873011017953,0.3994264925310295,0.2992910810453003,,0.3298736373503979,0.1003490921625331,0.3609069112573583,0.3333333333333333,-0.0316183691794473,0.0244382089392622,0.0385195812736711,-0.0340422522880329
inclusion,0.6596836569977551,0.3149225218804982,0.7441694333827841,0.5789473684210527,,0.7230727274113372,0.374562044658856,0.7146197712621897,0.6466165413533834,-0.0633890704135821,-0.0596395227783578,0.0295496621205944,-0.0676691729323307
patches,0.8731864096535558,0.532432751074402,0.7684187700562805,0.8233109010623902,,0.8503887179247751,0.5077315662762587,0.8042781949077701,0.8045112781954887,0.0227976917287806,0.0247011847981433,-0.0358594248514896,0.0187996228669015
pitted_surface,0.8014333384470084,0.4924071709504608,0.9100025526118376,0.7272727272727273,,0.8044772042518819,0.4428185249335038,0.7730887812584267,0.7424242424242424,-0.0030438658048734,0.049588646016957,0.1369137713534108,-0.0151515151515151
rolled-in_scale,0.3872153655247559,0.1524082299429616,0.3873688638889364,0.4006912118915819,,0.4048807858618519,0.1662428885429621,0.5054093431351995,0.3366336633663366,-0.017665420337096,-0.0138346586000005,-0.118040479246263,0.0640575485252453
scratches,0.862702888986527,0.4282389185014067,0.6386537989468158,0.9,,0.7336310902534158,0.3864954907745256,0.5654737077120079,0.8,0.1290717987331112,0.041743427726881,0.0731800912348079,0.0999999999999999
