acquisition_seed,training_seed,strategy,round,labeled_budget,development_eval_size,yaml_path,map50,map5095,precision,recall,train_status,train_run_dir,error,actual_trained_epochs,final_epoch,best_epoch_map50,best_results_map50,last_results_map50,best_epoch_map5095,best_results_map5095,last_results_map5095,retry_count,strategy_display,f1
42,1042,__SHARED_ROUND0__,0,60,300,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v10_neu_large_pool\v10_neu_large_pool_smoke_20260712_185923\__SHARED_ROUND0__\data.yaml,0.581204,0.306094,0.566488,0.599504,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v10_neu_large_pool\v10_neu_large_pool_smoke_20260712_185923\yolo_train_runs\seed42___SHARED_ROUND0___R0_trainseed1042,,100,100,86,0.58439,0.56532,81,0.30619,0.2876,0,Round0,0.582528562720842
42,1042,GTFreeRandom,1,90,300,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v10_neu_large_pool\v10_neu_large_pool_smoke_20260712_185923\GTFreeRandom\round_1\data.yaml,0.641054,0.3297,0.620629,0.610587,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v10_neu_large_pool\v10_neu_large_pool_smoke_20260712_185923\yolo_train_runs\seed42_GTFreeRandom_R1_trainseed1042,,100,100,99,0.651,0.64811,89,0.32919,0.32452,0,Random,0.6155670478989878
42,1042,DetectorInstanceRichDINOBalanced,1,90,300,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v10_neu_large_pool\v10_neu_large_pool_smoke_20260712_185923\DetectorInstanceRichDINOBalanced\round_1\data.yaml,0.623766,0.317276,0.661013,0.579154,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v10_neu_large_pool\v10_neu_large_pool_smoke_20260712_185923\yolo_train_runs\seed42_DetectorInstanceRichDINOBalanced_R1_trainseed1042,,100,100,90,0.63545,0.63025,74,0.31767,0.31077,0,V9b,0.6173818897003386
42,1042,DetectorUncertaintyDINOInstanceReducedV10b,1,90,300,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\v10b_single_training\v10b_single_training_20260712_195514\DetectorUncertaintyDINOInstanceReducedV10b\round_1\data.yaml,0.647079,0.340866,0.64134,0.621586,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\v10b_single_training\v10b_single_training_20260712_195514\yolo_train_runs\seed42_DetectorUncertaintyDINOInstanceReducedV10b_R1_trainseed1042,,100,100,88,0.64704,0.6109,88,0.33967,0.31676,0,V10b,0.6313085093505083
