strategy,strategy_display,map50_gain,map5095_gain,precision_gain,recall_gain
GTFreeRandom,Random,0.05984999999999996,0.023606000000000016,0.054140999999999995,0.011082999999999954
DetectorInstanceRichDINOBalanced,V9b,0.04256199999999999,0.011182000000000025,0.09452499999999997,-0.02035000000000009
DetectorUncertaintyDINOInstanceReducedV10b,V10b,0.0658749999999999,0.034772000000000025,0.07485200000000003,0.022081999999999935
