class_name,ap50_V10b,ap5095_V10b,precision_V10b,recall_V10b,validation_instance_count,ap50_V9b,ap5095_V9b,precision_V9b,recall_V9b,V10b_minus_V9b_ap50,V10b_minus_V9b_ap5095,V10b_minus_V9b_precision,V10b_minus_V9b_recall
crazing,0.2982552681709505,0.1247873011017953,0.3994264925310295,0.2992910810453003,,0.3166322087372172,0.1144546067057924,0.6545291243966965,0.1,-0.0183769405662667,0.0103326943960029,-0.255102631865667,0.1992910810453003
inclusion,0.6596836569977551,0.3149225218804982,0.7441694333827841,0.5789473684210527,,0.6203145538667191,0.2956312358012308,0.5973390608153196,0.6134820753398544,0.039369103131036,0.0192912860792673,0.1468303725674644,-0.0345347069188017
patches,0.8731864096535558,0.532432751074402,0.7684187700562805,0.8233109010623902,,0.8479853832931618,0.5022326659470585,0.7918769534573703,0.8195488721804511,0.025201026360394,0.0302000851273435,-0.0234581834010898,0.0037620288819391
pitted_surface,0.8014333384470084,0.4924071709504608,0.9100025526118376,0.7272727272727273,,0.8320990756029826,0.4869164774555066,0.868944437641115,0.7878787878787878,-0.0306657371559742,0.0054906934949542,0.0410581149707226,-0.0606060606060605
rolled-in_scale,0.3872153655247559,0.1524082299429616,0.3873688638889364,0.4006912118915819,,0.3771015381065729,0.1335679924923437,0.4800237541955613,0.3762376237623762,0.010113827418183,0.0188402374506179,-0.0926548903066249,0.0244535881292057
scratches,0.862702888986527,0.4282389185014067,0.6386537989468158,0.9,,0.7484617365110484,0.3708536453031129,0.5733619348375022,0.7777777777777778,0.1142411524754786,0.0573852731982938,0.0652918641093136,0.1222222222222222
