treatment,baseline,metric,num_pairs,mean_paired_difference,std_paired_difference,wins,ties,losses,bootstrap_ci95_low,bootstrap_ci95_high,exact_sign_flip_pvalue,relative_improvement_percent_mean
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,normalized_aulc_map50,5,0.00465885,0.0028548493740366,5,0,0,0.00272495,0.007059075,0.0625,1.1248288688890962
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,normalized_aulc_map5095,5,-0.00371685,0.0032412992408523,1,0,4,-0.0058668,-0.0009325749999999,0.125,-2.008910642007101
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,final_map50,5,-0.0068471999999999,0.0432180973863958,2,0,3,-0.0438205999999999,0.0279471999999999,0.6875,-1.1850213376406722
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,final_map5095,5,-0.0126392,0.0241058388818974,2,0,3,-0.0318116,0.0047876,0.4375,-5.241260380183413
